#,Assembly Constituency,Candidate,Party,Vote,Party,,
1,Akkalkuwa,Adv. K. C. Padavi,Indian National Congress,82770,Shiv Sena,,
2,Shahada,Rajesh Udesing Padvi,Bharatiya Janata Party,94931,Indian National Congress,,
3,Nandurbar,Vijaykumar Krishnarao Gavit,Bharatiya Janata Party,121605,Indian National Congress,,
4,Navapur,Shirishkumar Surupsing Naik,Indian National Congress,74652,Independent,,
5,Sakri,Manjula Gavit,Independent,76166,Bharatiya Janata Party,,
6,Dhule Rural,Kunalbaba Rohidas Patil,Indian National Congress,124610,Bharatiya Janata Party,,
7,Dhule City,Shah Faruk Anwar,All India Majlis-E-Ittehadul Muslimeen,46679,Independent,,
8,Sindkheda,Jayakumar Jitendrasinh Rawal,Bharatiya Janata Party,113809,Nationalist Congress Party,,
9,Shirpur,Kashiram Vechan Pawara,Bharatiya Janata Party,120403,Independent,,
10,Chopda,Latabai Sonawane,Shiv Sena,78137,Nationalist Congress Party,,
11,Raver,Chaudhari Shirish Madhukarrao,Indian National Congress,77941,Bharatiya Janata Party,,
12,Bhusawal,Sanjay Waman Sawakare,Bharatiya Janata Party,81689,Independent,,
13,Jalgaon City,Suresh Damu Bhole (Rajumama),Bharatiya Janata Party,113310,Nationalist Congress Party,,
14,Jalgaon Rural,Gulabrao Patil,Shiv Sena,105795,Independent,,
15,Amalner,Anil Bhaidas Patil,Nationalist Congress Party,92641,Bharatiya Janata Party,,
16,Erandol,Chimanrao Rupchand Patil,Shiv Sena,82650,Nationalist Congress Party,,
17,Chalisgaon,Mangesh Ramesh Chavan,Bharatiya Janata Party,86515,Nationalist Congress Party,,
18,Pachora,Kishor Appa Patil,Shiv Sena,75699,Independent,,
19,Jamner,Girish Mahajan,Bharatiya Janata Party,114714,Nationalist Congress Party,,
20,Muktainagar,Chandrakant Nimba Patil,Independent,91092,Bharatiya Janata Party,,
21,Malkapur,Ekade Rajesh Panditrao,Indian National Congress,86276,Bharatiya Janata Party,,
22,Buldhana,Sanjay Gaikwad,Shiv Sena,67785,Vanchit Bahujan Aghadi,,
23,Chikhali,Shweta Vidyadhar Mahale,Bharatiya Janata Party,93515,Indian National Congress,,
24,Sindkhed Raja,Dr. Rajendra Bhaskarrao Shingne,Nationalist Congress Party,81701,Shiv Sena,,
25,Mehkar,Sanjay Bhashkar Raimulkar,Shiv Sena,112038,Indian National Congress,,
26,Khamgaon,Akash Pandurang Fundkar,Bharatiya Janata Party,90757,Indian National Congress,,
27,Jalgaon (Jamod),Dr. Sanjay Shriram Kute,Bharatiya Janata Party,102735,Indian National Congress,,
28,Akot,Prakash Gunvantrao Bharsakale,Bharatiya Janata Party,48586,Vanchit Bahujan Aghadi,,
29,Balapur,Nitin Tale,Shiv Sena,69343,Vanchit Bahujan Aghadi,,
30,Akola West,Govardhan Mangilal Sharma,Bharatiya Janata Party,73262,Indian National Congress,,
31,Akola East,Randhir Pralhadrao Sawarkar,Bharatiya Janata Party,100475,Vanchit Bahujan Aghadi,,
32,Murtizapur,Harish Marotiappa Pimple,Bharatiya Janata Party,59527,Vanchit Bahujan Aghadi,,
33,Risod,Amit Subhashrao Zanak,Indian National Congress,69875,Independent,,
34,Washim,Lakhan Sahadeo Malik,Bharatiya Janata Party,66159,Independent,,
35,Karanja,Rajendra Sukhanad Patni,Bharatiya Janata Party,73205,Nationalist Congress Party,,
36,Dhamangaon Railway,Adsad Pratap Arunbhau,Bharatiya Janata Party,90832,Indian National Congress,,
37,Badnera,Ravi Rana,Independent,90460,Shiv Sena,,
38,Amravati,Sulbha Sanjay Khodke,Indian National Congress,82581,Bharatiya Janata Party,,
39,Teosa,Yashomati Chandrakant Thakur,Indian National Congress,76218,Shiv Sena,,
40,Daryapur,Balwant Baswant Wankhade,Indian National Congress,95889,Bharatiya Janata Party,,
41,Melghat,Rajkumar Dayaram Patel,Prahar Janshakti Party,84569,Bharatiya Janata Party,,
42,Achalpur,Bachchu Babarao Kadu,Prahar Janshakti Party,81252,Indian National Congress,,
43,Morshi,Devendra Mahadevrao Bhuyar,Swabhimani Paksha,96152,Bharatiya Janata Party,,
44,Arvi,Dadarao Yadaorao Keche,Bharatiya Janata Party,87318,Indian National Congress,,
45,Deoli,Ranjit Prataprao Kamble,Indian National Congress,75345,Independent,,
46,Hinganghat,Samir Trimbakrao Kunawar,Bharatiya Janata Party,103585,Nationalist Congress Party,,
47,Wardha,Dr. Pankaj Rajesh Bhoyar,Bharatiya Janata Party,79739,Nationalist Congress Party,,
48,Katol,Anil Deshmukh,Nationalist Congress Party,96842,Bharatiya Janata Party,,
49,Savner,Sunil Chhatrapal Kedar,Indian National Congress,113184,Bharatiya Janata Party,,
50,Hingna,Sameer Meghe,Bharatiya Janata Party,121305,Nationalist Congress Party,,
51,Umred,Raju Devnath Parwe,Indian National Congress,91968,Bharatiya Janata Party,,
52,Nagpur South West,Devendra Fadnavis,Bharatiya Janata Party,109237,Indian National Congress,,
53,Nagpur South,Mohan Mate,Bharatiya Janata Party,84339,Indian National Congress,,
54,Nagpur East,Krishna Khopde,Bharatiya Janata Party,103992,Indian National Congress,,
55,Nagpur Central,Vikas Kumbhare,Bharatiya Janata Party,75692,Indian National Congress,,
56,Nagpur West,Vikas Pandurang Thakre,Indian National Congress,83252,Bharatiya Janata Party,,
57,Nagpur North,Dr. Nitin Raut,Indian National Congress,86821,Bharatiya Janata Party,,
58,Kamthi,Tekchand Sawarkar,Bharatiya Janata Party,118182,Indian National Congress,,
59,Ramtek,Ashish Jaiswal,Independent,67419,Bharatiya Janata Party,,
60,Tumsar,Karemore Raju Manikrao,Nationalist Congress Party,87190,Independent,,
61,Bhandara,Narendra Bhojraj Bhondekar,Independent,101717,Bharatiya Janata Party,,
62,Sakoli,Nanabhau Patole,Indian National Congress,95208,Bharatiya Janata Party,,
63,Arjuni Morgaon,Chandrikapure Manohar Gowardhan,Nationalist Congress Party,72400,Bharatiya Janata Party,,
64,Tirora,Vijay Bharatlal Rahangdale,Bharatiya Janata Party,76482,Nationalist Congress Party,,
65,Gondiya,Vinod Agrawal,Independent,76482,Bharatiya Janata Party,,
66,Amgaon,Sahasram Maroti Korote,Indian National Congress,88265,Bharatiya Janata Party,,
67,Armori,Krushna Gajbe,Bharatiya Janata Party,75077,Indian National Congress,,
68,Gadchiroli,Dr. Deorao Madguji Holi,Bharatiya Janata Party,97913,Indian National Congress,,
69,Aheri,Dharamraobaba Aatram,Nationalist Congress Party,60013,Bharatiya Janata Party,,
70,Rajura,Subhash Ramchandrarao Dhote,Indian National Congress,60228,Swatantra Bharat Paksha,,
71,Chandrapur,Kishor Gajanan Jorgewar,Independent,117570,Bharatiya Janata Party,,
72,Ballarpur,Sudhir Mungantiwar,Bharatiya Janata Party,86002,Indian National Congress,,
73,Bramhapuri,Vijay Namdevrao Wadettiwar,Indian National Congress,96726,Shiv Sena,,
74,Chimur,Bunty Bhangdiya,Bharatiya Janata Party,87146,Indian National Congress,,
75,Warora,Pratibha Dhanorkar,Indian National Congress,63862,Shiv Sena,,
76,Wani,Sanjivreddi Bapurao Bodkurwar,Bharatiya Janata Party,67710,Indian National Congress,,
77,Ralegaon,Prof. (Dr) Ashok Uike,Bharatiya Janata Party,90823,Indian National Congress,,
78,Yavatmal,Madan Madhukarrao Yerawar,Bharatiya Janata Party,80425,Indian National Congress,,
79,Digras,Sanjay Rathod,Shiv Sena,136824,Independent,,
80,Arni,Dr. Sandeep Dhurve,Bharatiya Janata Party,81599,Indian National Congress,,
81,Pusad,Indranil Naik,Nationalist Congress Party,89143,Bharatiya Janata Party,,
82,Umarkhed,BNamdev Jayram Sasane,Bharatiya Janata Party,87337,Indian National Congress,,
83,Kinwat,Bhimrao Keram,Bharatiya Janata Party,89628,Nationalist Congress Party,,
84,Hadgaon,Madhavrao Nivruttirao Patil Jawalgaonkar,Indian National Congress,74325,Independent,,
85,Bhokar,Ashok Chavan,Indian National Congress,140559,Bharatiya Janata Party,,
86,Nanded North,Balaji Kalyankar,Shiv Sena,62884,Indian National Congress,,
87,Nanded South,Mohanrao Marotrao Hambarde,Indian National Congress,46943,Independent,,
88,Loha,Shyamsundar Shinde,Peasants And Workers Party of India,101668,Vanchit Bahujan Aghadi,,
89,Naigaon,Rajesh Pawar,Bharatiya Janata Party,117750,Indian National Congress,,
